year,europe,arctic,alaska,asia,north_america,south_america,antarctica,global_glacial_volume_change,annual_sea_level_rise,cumulative_sea_level_rise
1961,-5.128902573,-108.3829873,-18.72119005,-32.35075912,-14.35900684,-4.739366872,-35.11638886,-220.8235154,0.610009711,0.610009711
1962,5.576281824,-173.2524502,-24.32478956,-4.675440089,-2.161841693,-13.69436687,-78.22288681,-514.2698615,0.810625265,1.420634976
1963,-10.1231053,-0.423751243,-2.047566969,-3.027297957,-27.53588142,3.419633128,3.76510862,-550.5756404,0.100292207,1.520927183
1964,-4.5083585,20.07014841,0.477799674,-18.67538519,-2.248285951,20.73263313,14.85309588,-519.5898586,-0.085596082,1.435331101
1965,10.62938507,43.69538891,-0.115331582,-18.41460169,-19.39876521,6.862102169,22.79348368,-473.1120033,-0.128391866,1.306939236
1966,-4.127241297,-52.87936855,0.224761723,-14.63028361,-55.62306972,-2.013778831,-22.75426402,-626.32014,0.423226897,1.730166133
1967,12.78753301,-35.71336665,-7.174029766,-39.01369484,-11.26314676,-16.5335043,-9.409492999,-733.6237985,0.296418946,2.026585079
1968,6.927000445,-39.86294782,-0.660555957,7.879588708,-5.868897744,-3.809527809,-13.87239353,-783.3474899,0.137358264,2.163943342
1969,-11.7327353,-78.16626028,-41.41513197,-16.03879698,9.358175302,-10.36024969,-25.80262567,-959.1168898,0.485550828,2.649494171
1970,-6.452315578,-24.49466687,-0.125296072,-36.12019884,11.61978982,11.63691073,4.400377358,-999.0181772,0.110224551,2.759718722
1971,0.414710596,-42.90418945,28.10332808,-8.702937932,-9.964541713,1.061299008,-6.735535516,-1038.104459,0.107973153,2.867691875
1972,-5.144728873,-27.00403073,-22.14335021,-40.88335721,32.3637302,-14.96803382,-6.223849209,-1122.885506,0.234201789,3.101893663
1973,4.081089786,9.839443786,22.98518792,-31.43259387,-20.88323231,2.103649306,10.53982336,-1125.677743,0.00771336,3.109607024
1974,1.54561526,-40.12699814,-29.51787416,-43.86162152,-23.9914024,-21.33882486,4.419342837,-1279.964287,0.426205923,3.535812947
1975,7.431192167,-32.41046688,-44.09408433,-43.35744166,-30.85881025,-2.368841958,-7.775314788,-1434.818037,0.42777279,3.963585737
1976,3.986752596,21.68663947,-28.23472528,-67.29212454,-12.53442146,-19.46535827,19.25060743,-1518.185129,0.230295834,4.193881571
1977,4.891409855,-33.12301028,-5.662138862,-62.1656839,-15.90533216,2.654950035,-23.72724863,-1652.4534,0.370906826,4.564788397
1978,8.404590601,-77.56101535,-12.50338402,-22.85803971,-31.0976094,7.127707584,-9.14016747,-1791.355022,0.383706138,4.948494535
1979,3.916702669,-88.35168436,-63.93885125,-49.24204307,-12.07662438,-17.71850304,-9.57855702,-2030.537848,0.660726039,5.609220574
1980,-0.858774751,-60.86315506,4.817411632,-21.87422043,6.740733682,15.87493871,-16.61302716,-2103.987461,0.202899486,5.812120059
1981,8.161363446,-46.31244917,-16.11930702,-39.47180557,-40.94862728,-2.224057233,-30.24203303,-2272.691363,0.466032878,6.278152937
1982,-1.178121136,-27.32085141,-22.9028419,-18.11989767,-27.04492397,-7.453853438,-19.9147926,-2397.773628,0.345531119,6.623684056
1983,3.721357256,-12.32950795,-22.44892607,-45.01123109,-24.33553948,9.756087454,4.087064399,-2485.135416,0.241330906,6.865014962
1984,8.581426865,-5.755671768,-33.46609201,-20.52853532,-20.73467555,-8.2676864,-3.261011434,-2569.339802,0.232608799,7.097623762
1985,-5.970979572,-49.65108937,12.06547332,-31.5716217,-33.83398514,10.07290617,-13.58788589,-2682.857926,0.313585978,7.41120974
1986,-5.680642072,22.90084741,7.557446932,-18.92077317,-33.01474316,-4.652030336,30.48247294,-2684.197632,0.003700846,7.414910586
1987,8.191477304,12.38778034,-24.00786162,-41.12197041,-48.56099616,1.670732541,3.130190135,-2773.325568,0.246209767,7.661120353
1988,-11.11722757,-31.06648911,49.8977116,-21.30071233,-46.5454354,13.46042207,-37.98683372,-2858.767621,0.236027772,7.897148125
1989,14.86322031,-23.46239246,-36.11272569,-46.52837243,-57.75642222,-21.68746968,-10.0447572,-3041.169131,0.503871575,8.4010197
1990,-1.226008919,-27.484542,-92.71333851,-35.55343331,-56.56305627,-31.07702199,-29.89335203,-3318.220397,0.765334988,9.166354688
1991,-14.39142482,-34.89868917,-8.822062554,-15.3382989,-31.45800977,-7.162909388,-35.96842904,-3467.630284,0.412734494,9.579089182
1992,16.17582812,16.11540392,-1.112326337,9.582168991,1.380067248,-16.35542456,11.86151336,-3429.634639,-0.104960343,9.474128838
1993,16.68501262,-73.66627391,-43.70203957,-65.99513006,-33.15124596,-20.57840267,-20.31157678,-3672.582082,0.671125533,10.14525437
1994,0.741750516,-3.069084139,-59.96227349,-59.00470964,-89.50614172,-15.25844938,-8.168498478,-3908.977191,0.653025163,10.79827953
1995,-2.139665254,-58.16777821,-74.14176222,3.500154575,-0.699373939,-19.86339231,-25.95149587,-4088.082873,0.494767076,11.29304661
1996,-6.809833798,-4.550204582,-74.84701658,-67.43659073,4.867529971,-21.08011525,-11.7814886,-4271.401594,0.506405306,11.79945192
1997,-13.72410635,-24.83224647,-167.229145,-34.40640264,-27.68066148,-38.21328574,-20.17909005,-4600.686013,0.909625468,12.70907738
1998,-13.0833383,-110.4293018,-107.8790269,-58.11570178,30.16998653,-3.797977984,-48.12992817,-4914.831966,0.8678065,13.57688388
1999,-8.039554716,-64.64406762,-87.71465347,-26.21172301,5.888512493,-8.038629902,-40.65300102,-5146.368231,0.639602942,14.21648683
2000,-17.00859008,-96.49405491,-44.445,-37.5181731,-29.1919855,-2.76769792,-58.87382971,-5435.317175,0.798201502,15.01468833
2001,-8.419109351,-145.4154834,-55.74950495,-35.97702167,-0.926133831,7.553503378,-86.77467477,-5764.039931,0.908073912,15.92276224
2002,-3.392360543,-48.71894313,-87.12,-36.12722632,-27.85349753,-13.48459253,-30.20396015,-6013.2255,0.688357926,16.61112017
2003,-3.392360543,-48.71894313,-67.25363395,-36.02199105,-75.06647458,-13.22342959,-30.20396015,-6289.640976,0.763578662,17.37469883